subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
35, practice, 1, vibration off, 1, 3, 1, 11.jpg, 9.jpg, 0.584847675, 0.167787674, 0.584847675, right, 2, 3, 1, 11.jpg, 9.jpg, 2.154996099998243, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
35, practice, 1, vibration off, 2, 2, 1, 10.jpg, 9.jpg, 0.355471562, 0.176264347, 0.176264347, left, 1, 1, 2, 9.jpg, 10.jpg, 1.2549988999962807, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
35, practice, 1, vibration off, 3, 3, 2, 11.jpg, 10.jpg, 0.578794293, 0.3490424, 0.578794293, right, 2, 3, 2, 11.jpg, 10.jpg, 1.1427883999422193, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
35, practice, 1, vibration off, 4, 2, 4, 10.jpg, 12.jpg, 0.358181966, 0.268568422, 0.268568422, left, 1, 4, 2, 12.jpg, 10.jpg, 2.2797557999147102, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
35, practice, 1, vibration off, 5, 2, 4, 10.jpg, 12.jpg, 0.364707579, 0.302042001, 0.302042001, left, 1, 4, 2, 12.jpg, 10.jpg, 1.1795240000355989, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
35, test, 1, vibration off, 1, 1, 4, 9.jpg, 12.jpg, 0.167787674, 0.302670058, 0.167787674, right, 2, 1, 4, 9.jpg, 12.jpg, 0.9485618999460712, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
35, test, 1, vibration off, 2, 1, 2, 9.jpg, 10.jpg, 0.176264347, 0.355471562, 0.176264347, right, 2, 1, 2, 9.jpg, 10.jpg, 1.8390890000155196, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
35, test, 1, vibration off, 3, 1, 2, 9.jpg, 10.jpg, 0.206677553, 0.3490424, 0.3490424, left, 1, 2, 1, 10.jpg, 9.jpg, 1.639314999920316, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
35, test, 1, vibration off, 4, 2, 4, 10.jpg, 12.jpg, 0.358181966, 0.268568422, 0.268568422, left, 1, 4, 2, 12.jpg, 10.jpg, 1.3176696000155061, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
35, test, 1, vibration off, 5, 2, 1, 10.jpg, 9.jpg, 0.364707579, 0.21991786, 0.364707579, right, 2, 2, 1, 10.jpg, 9.jpg, 2.7076983000151813, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
35, test, 1, vibration off, 6, 1, 2, 9.jpg, 10.jpg, 0.209090036, 0.3895513, 0.209090036, right, 2, 1, 2, 9.jpg, 10.jpg, 1.830961300060153, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
35, test, 1, vibration off, 7, 1, 2, 9.jpg, 10.jpg, 0.215508938, 0.39060737, 0.39060737, left, 1, 2, 1, 10.jpg, 9.jpg, 1.0600831999909133, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,0,
35, test, 1, vibration off, 8, 2, 3, 10.jpg, 11.jpg, 0.430440014, 0.545053358, 0.545053358, left, 1, 3, 2, 11.jpg, 10.jpg, 1.308130900026299, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
35, test, 1, vibration off, 9, 2, 4, 10.jpg, 12.jpg, 0.4539861, 0.365747455, 0.4539861, right, 2, 2, 4, 10.jpg, 12.jpg, 1.2066183999413624, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,1
35, test, 1, vibration off, 10, 2, 3, 10.jpg, 11.jpg, 0.485995524, 0.507816291, 0.485995524, right, 2, 2, 3, 10.jpg, 11.jpg, 2.676922999904491, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
35, test, 1, vibration off, 11, 4, 2, 12.jpg, 10.jpg, 0.378430477, 0.489357893, 0.378430477, right, 2, 4, 2, 12.jpg, 10.jpg, 2.262683300068602, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,1
35, test, 1, vibration off, 12, 4, 3, 12.jpg, 11.jpg, 0.406276663, 0.446302549, 0.446302549, left, 1, 3, 4, 11.jpg, 12.jpg, 2.1199741000309587, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
35, test, 1, vibration off, 13, 4, 2, 12.jpg, 10.jpg, 0.408056555, 0.493007884, 0.408056555, right, 2, 4, 2, 12.jpg, 10.jpg, 1.063139699981548, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
35, test, 1, vibration off, 14, 1, 4, 9.jpg, 12.jpg, 0.194746258, 0.411853134, 0.411853134, left, 1, 4, 1, 12.jpg, 9.jpg, 1.4878970000427216, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,1
35, test, 1, vibration off, 15, 3, 4, 11.jpg, 12.jpg, 0.410741903, 0.425420016, 0.410741903, right, 2, 3, 4, 11.jpg, 12.jpg, 1.7128159999847412, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,1
35, test, 1, vibration off, 16, 1, 4, 9.jpg, 12.jpg, 0.268446939, 0.434571537, 0.434571537, left, 1, 4, 1, 12.jpg, 9.jpg, 2.8668038999894634, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,1
35, test, 1, vibration off, 17, 4, 1, 12.jpg, 9.jpg, 0.467037886, 0.260713561, 0.467037886, right, 2, 4, 1, 12.jpg, 9.jpg, 0.7593630000483245, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,1
35, test, 1, vibration off, 18, 1, 3, 9.jpg, 11.jpg, 0.273570125, 0.380302803, 0.380302803, left, 1, 3, 1, 11.jpg, 9.jpg, 1.4898402999388054, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
35, test, 1, vibration off, 19, 3, 2, 11.jpg, 10.jpg, 0.39026973, 0.435371131, 0.39026973, right, 2, 3, 2, 11.jpg, 10.jpg, 1.1929160999134183, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
35, test, 1, vibration off, 20, 4, 2, 12.jpg, 10.jpg, 0.410963982, 0.425551488, 0.410963982, right, 2, 4, 2, 12.jpg, 10.jpg, 0.8326549999183044, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
35, test, 1, vibration off, 21, 3, 1, 11.jpg, 9.jpg, 0.404768464, 0.289598518, 0.289598518, left, 1, 1, 3, 9.jpg, 11.jpg, 2.0186340999789536, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,1
35, test, 1, vibration off, 22, 3, 4, 11.jpg, 12.jpg, 0.422610309, 0.389718337, 0.389718337, left, 1, 4, 3, 12.jpg, 11.jpg, 1.3359333999687806, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
35, test, 1, vibration off, 23, 4, 3, 12.jpg, 11.jpg, 0.39059245, 0.408863932, 0.39059245, right, 2, 4, 3, 12.jpg, 11.jpg, 1.2228254999499768, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,1
35, test, 1, vibration off, 24, 4, 1, 12.jpg, 9.jpg, 0.398445672, 0.266650787, 0.398445672, right, 2, 4, 1, 12.jpg, 9.jpg, 1.0764241999713704, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,1
35, test, 1, vibration off, 25, 3, 1, 11.jpg, 9.jpg, 0.425425396, 0.254259812, 0.254259812, left, 1, 1, 3, 9.jpg, 11.jpg, 0.8665727999759838, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
35, test, 1, vibration off, 26, 4, 3, 12.jpg, 11.jpg, 0.389570929, 0.44409494, 0.389570929, right, 2, 4, 3, 12.jpg, 11.jpg, 1.7366393000120297, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,1
35, test, 1, vibration off, 27, 2, 3, 10.jpg, 11.jpg, 0.434578853, 0.476699219, 0.434578853, right, 2, 2, 3, 10.jpg, 11.jpg, 1.2208413999760523, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,1
35, test, 1, vibration off, 28, 2, 3, 10.jpg, 11.jpg, 0.456535155, 0.471375184, 0.456535155, right, 2, 2, 3, 10.jpg, 11.jpg, 0.9006535999942571, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
35, test, 1, vibration off, 29, 2, 4, 10.jpg, 12.jpg, 0.431125609, 0.360838495, 0.360838495, left, 1, 4, 2, 12.jpg, 10.jpg, 0.4443696999223903, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,1
35, test, 1, vibration off, 30, 2, 4, 10.jpg, 12.jpg, 0.434793002, 0.36725969, 0.36725969, left, 1, 4, 2, 12.jpg, 10.jpg, 0.7836988000199199, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,1
35, test, 1, vibration off, 31, 1, 3, 9.jpg, 11.jpg, 0.233739069, 0.456731037, 0.233739069, right, 2, 1, 3, 9.jpg, 11.jpg, 2.5266412999480963, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,1
35, test, 1, vibration off, 32, 1, 4, 9.jpg, 12.jpg, 0.24432205, 0.393803515, 0.24432205, right, 2, 1, 4, 9.jpg, 12.jpg, 2.102907199994661, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
35, test, 1, vibration off, 33, 4, 2, 12.jpg, 10.jpg, 0.402704902, 0.458621481, 0.402704902, right, 2, 4, 2, 12.jpg, 10.jpg, 0.7906379000050947, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
35, test, 1, vibration off, 34, 4, 1, 12.jpg, 9.jpg, 0.416668377, 0.204964705, 0.204964705, left, 1, 1, 4, 9.jpg, 12.jpg, 1.7909600000130013, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,0,
35, test, 1, vibration off, 35, 1, 4, 9.jpg, 12.jpg, 0.22048214, 0.419699964, 0.419699964, left, 1, 4, 1, 12.jpg, 9.jpg, 1.3549256999976933, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
35, test, 1, vibration off, 36, 2, 3, 10.jpg, 11.jpg, 0.447650766, 0.423948221, 0.423948221, left, 1, 3, 2, 11.jpg, 10.jpg, 1.1520805000327528, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
35, test, 1, vibration off, 37, 4, 1, 12.jpg, 9.jpg, 0.39910528, 0.219326053, 0.39910528, right, 2, 4, 1, 12.jpg, 9.jpg, 3.0567487999796867, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,1
35, test, 1, vibration off, 38, 3, 2, 11.jpg, 10.jpg, 0.4363313, 0.433155402, 0.4363313, right, 2, 3, 2, 11.jpg, 10.jpg, 1.8755961999995634, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
35, test, 1, vibration off, 39, 4, 2, 12.jpg, 10.jpg, 0.411267062, 0.447660961, 0.411267062, right, 2, 4, 2, 12.jpg, 10.jpg, 1.0913613999728113, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,0,
35, test, 1, vibration off, 40, 2, 3, 10.jpg, 11.jpg, 0.447456341, 0.40122215, 0.40122215, left, 1, 3, 2, 11.jpg, 10.jpg, 1.8198464999441057, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
35, test, 1, vibration off, 41, 3, 1, 11.jpg, 9.jpg, 0.382054645, 0.249081937, 0.249081937, left, 1, 1, 3, 9.jpg, 11.jpg, 0.908760100021027, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
35, test, 1, vibration off, 42, 4, 1, 12.jpg, 9.jpg, 0.368787043, 0.255981224, 0.368787043, right, 2, 4, 1, 12.jpg, 9.jpg, 1.3016193999210373, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,1
35, test, 1, vibration off, 43, 1, 3, 9.jpg, 11.jpg, 0.288213763, 0.401205729, 0.401205729, left, 1, 3, 1, 11.jpg, 9.jpg, 2.64080430008471, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,0,
35, test, 1, vibration off, 44, 2, 1, 10.jpg, 9.jpg, 0.530811847, 0.294374293, 0.530811847, right, 2, 2, 1, 10.jpg, 9.jpg, 1.2789253999944776, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,1
35, test, 1, vibration off, 45, 2, 4, 10.jpg, 12.jpg, 0.512913286, 0.367033206, 0.512913286, right, 2, 2, 4, 10.jpg, 12.jpg, 1.738596300012432, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
35, test, 1, vibration off, 46, 2, 1, 10.jpg, 9.jpg, 0.533187647, 0.289973458, 0.533187647, right, 2, 2, 1, 10.jpg, 9.jpg, 3.9599748000036925, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
35, test, 1, vibration off, 47, 1, 2, 9.jpg, 10.jpg, 0.29306391, 0.537872242, 0.29306391, right, 2, 1, 2, 9.jpg, 10.jpg, 1.091182000003755, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,0,
35, test, 1, vibration off, 48, 1, 4, 9.jpg, 12.jpg, 0.292135198, 0.356952705, 0.356952705, left, 1, 4, 1, 12.jpg, 9.jpg, 0.5342323000077158, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
35, test, 1, vibration off, 49, 2, 1, 10.jpg, 9.jpg, 0.527646571, 0.293886334, 0.293886334, left, 1, 1, 2, 9.jpg, 10.jpg, 0.6754885000409558, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
35, test, 1, vibration off, 50, 2, 4, 10.jpg, 12.jpg, 0.548355336, 0.348042517, 0.348042517, left, 1, 4, 2, 12.jpg, 10.jpg, 1.0470816999441013, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,1
35, test, 2, vibration during outcome, 50, 3, 1, 3.jpg, 1.jpg, 0.386662209, 0.304272396, 0.386662209, right, 2, 3, 1, 3.jpg, 1.jpg, 0.6727926000021398, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
35, practice, 3, vibration during choice, 1, 3, 4, 7.jpg, 8.jpg, 0.584847675, 0.302670058, 0.302670058, left, 1, 4, 3, 8.jpg, 7.jpg, 1.3007641999283805, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
35, practice, 3, vibration during choice, 2, 4, 2, 8.jpg, 6.jpg, 0.290755999, 0.355471562, 0.355471562, left, 1, 2, 4, 6.jpg, 8.jpg, 0.9057996000628918, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
35, practice, 3, vibration during choice, 3, 1, 2, 5.jpg, 6.jpg, 0.206677553, 0.3490424, 0.206677553, right, 2, 1, 2, 5.jpg, 6.jpg, 0.6451719999313354, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
35, practice, 3, vibration during choice, 4, 1, 4, 5.jpg, 8.jpg, 0.216551625, 0.268568422, 0.216551625, right, 2, 1, 4, 5.jpg, 8.jpg, 2.089531800011173, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
35, practice, 3, vibration during choice, 5, 3, 1, 7.jpg, 5.jpg, 0.582527891, 0.21991786, 0.21991786, left, 1, 1, 3, 5.jpg, 7.jpg, 0.7341399999568239, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
35, test, 3, vibration during choice, 1, 2, 1, 6.jpg, 5.jpg, 0.332201416, 0.167787674, 0.167787674, left, 1, 1, 2, 5.jpg, 6.jpg, 1.3910002999473363, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
35, test, 3, vibration during choice, 2, 1, 3, 5.jpg, 7.jpg, 0.176264347, 0.582595424, 0.176264347, right, 2, 1, 3, 5.jpg, 7.jpg, 1.003902000025846, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
35, test, 3, vibration during choice, 3, 4, 3, 8.jpg, 7.jpg, 0.275426328, 0.578794293, 0.578794293, left, 1, 3, 4, 7.jpg, 8.jpg, 1.1151872999034822, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
35, test, 3, vibration during choice, 4, 1, 2, 5.jpg, 6.jpg, 0.216551625, 0.358181966, 0.216551625, right, 2, 1, 2, 5.jpg, 6.jpg, 0.5086072999984026, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
35, test, 3, vibration during choice, 5, 4, 2, 8.jpg, 6.jpg, 0.302042001, 0.364707579, 0.364707579, left, 1, 2, 4, 6.jpg, 8.jpg, 1.6406843999866396, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
35, test, 3, vibration during choice, 6, 4, 1, 8.jpg, 5.jpg, 0.336540119, 0.209090036, 0.209090036, left, 1, 1, 4, 5.jpg, 8.jpg, 0.903465999988839, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,1
35, test, 3, vibration during choice, 7, 2, 1, 6.jpg, 5.jpg, 0.39060737, 0.215508938, 0.215508938, left, 1, 1, 2, 5.jpg, 6.jpg, 0.7973867000546306, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,0,
35, test, 3, vibration during choice, 8, 3, 4, 7.jpg, 8.jpg, 0.545053358, 0.369794555, 0.545053358, right, 2, 3, 4, 7.jpg, 8.jpg, 1.0246654000366107, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
35, test, 3, vibration during choice, 9, 2, 4, 6.jpg, 8.jpg, 0.4539861, 0.365747455, 0.4539861, right, 2, 2, 4, 6.jpg, 8.jpg, 1.1056367000564933, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,0,
35, test, 3, vibration during choice, 10, 4, 3, 8.jpg, 7.jpg, 0.36426522, 0.507816291, 0.507816291, left, 1, 3, 4, 7.jpg, 8.jpg, 0.48754150001332164, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,1
35, test, 3, vibration during choice, 11, 1, 2, 5.jpg, 6.jpg, 0.272116099, 0.489357893, 0.272116099, right, 2, 1, 2, 5.jpg, 6.jpg, 0.9274104000069201, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,1
35, test, 3, vibration during choice, 12, 1, 2, 5.jpg, 6.jpg, 0.234286576, 0.484630844, 0.234286576, right, 2, 1, 2, 5.jpg, 6.jpg, 0.772589800064452, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
35, test, 3, vibration during choice, 13, 4, 3, 8.jpg, 7.jpg, 0.408056555, 0.441292304, 0.441292304, left, 1, 3, 4, 7.jpg, 8.jpg, 0.8943687001010403, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
35, test, 3, vibration during choice, 14, 4, 1, 8.jpg, 5.jpg, 0.411853134, 0.194746258, 0.194746258, left, 1, 1, 4, 5.jpg, 8.jpg, 0.9281089999713004, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
35, test, 3, vibration during choice, 15, 4, 1, 8.jpg, 5.jpg, 0.425420016, 0.254919143, 0.254919143, left, 1, 1, 4, 5.jpg, 8.jpg, 0.946774399955757, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
35, test, 3, vibration during choice, 16, 2, 1, 6.jpg, 5.jpg, 0.473753497, 0.268446939, 0.268446939, left, 1, 1, 2, 5.jpg, 6.jpg, 0.8340993999736384, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,0,
35, test, 3, vibration during choice, 17, 1, 2, 5.jpg, 6.jpg, 0.260713561, 0.427927548, 0.260713561, right, 2, 1, 2, 5.jpg, 6.jpg, 0.8792090000351891, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
35, test, 3, vibration during choice, 18, 4, 1, 8.jpg, 5.jpg, 0.458160423, 0.273570125, 0.273570125, left, 1, 1, 4, 5.jpg, 8.jpg, 0.9453051999444142, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
35, test, 3, vibration during choice, 19, 1, 2, 5.jpg, 6.jpg, 0.269452755, 0.435371131, 0.435371131, left, 1, 2, 1, 6.jpg, 5.jpg, 1.2322032999945804, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
35, test, 3, vibration during choice, 20, 1, 4, 5.jpg, 8.jpg, 0.268741649, 0.410963982, 0.268741649, right, 2, 1, 4, 5.jpg, 8.jpg, 1.08826470002532, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
35, test, 3, vibration during choice, 21, 1, 4, 5.jpg, 8.jpg, 0.289598518, 0.423231262, 0.423231262, left, 1, 4, 1, 8.jpg, 5.jpg, 0.7755263999570161, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,1
35, test, 3, vibration during choice, 22, 4, 3, 8.jpg, 7.jpg, 0.389718337, 0.422610309, 0.422610309, left, 1, 3, 4, 7.jpg, 8.jpg, 0.7178539000451565, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,1
35, test, 3, vibration during choice, 23, 1, 2, 5.jpg, 6.jpg, 0.275422902, 0.397611772, 0.275422902, right, 2, 1, 2, 5.jpg, 6.jpg, 1.1777371000498533, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,1
35, test, 3, vibration during choice, 24, 2, 1, 6.jpg, 5.jpg, 0.379139537, 0.266650787, 0.266650787, left, 1, 1, 2, 5.jpg, 6.jpg, 0.786563300061971, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,0,
35, test, 3, vibration during choice, 25, 4, 3, 8.jpg, 7.jpg, 0.3844496, 0.425425396, 0.425425396, left, 1, 3, 4, 7.jpg, 8.jpg, 0.5666161000262946, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
35, test, 3, vibration during choice, 26, 1, 2, 5.jpg, 6.jpg, 0.251503025, 0.426705428, 0.251503025, right, 2, 1, 2, 5.jpg, 6.jpg, 0.8074758000439033, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
35, test, 3, vibration during choice, 27, 2, 3, 6.jpg, 7.jpg, 0.434578853, 0.476699219, 0.476699219, left, 1, 3, 2, 7.jpg, 6.jpg, 1.086870800005272, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,0,
35, test, 3, vibration during choice, 28, 4, 1, 8.jpg, 5.jpg, 0.358204472, 0.254900351, 0.254900351, left, 1, 1, 4, 5.jpg, 8.jpg, 1.7714382000267506, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,1
35, test, 3, vibration during choice, 29, 2, 4, 6.jpg, 8.jpg, 0.431125609, 0.360838495, 0.431125609, right, 2, 2, 4, 6.jpg, 8.jpg, 1.4859341999981552, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
35, test, 3, vibration during choice, 30, 4, 3, 8.jpg, 7.jpg, 0.36725969, 0.441888062, 0.441888062, left, 1, 3, 4, 7.jpg, 8.jpg, 0.8718444000696763, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
35, test, 3, vibration during choice, 31, 1, 2, 5.jpg, 6.jpg, 0.233739069, 0.473135831, 0.233739069, right, 2, 1, 2, 5.jpg, 6.jpg, 1.4082826999947429, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,0,
35, test, 3, vibration during choice, 32, 2, 4, 6.jpg, 8.jpg, 0.452508743, 0.393803515, 0.393803515, left, 1, 4, 2, 8.jpg, 6.jpg, 1.3461143000749871, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
35, test, 3, vibration during choice, 33, 4, 1, 8.jpg, 5.jpg, 0.402704902, 0.193554899, 0.193554899, left, 1, 1, 4, 5.jpg, 8.jpg, 0.8590437999228016, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
35, test, 3, vibration during choice, 34, 4, 3, 8.jpg, 7.jpg, 0.416668377, 0.409321444, 0.409321444, left, 1, 3, 4, 7.jpg, 8.jpg, 0.6575248999288306, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
35, test, 3, vibration during choice, 35, 3, 2, 7.jpg, 6.jpg, 0.424862287, 0.429045935, 0.424862287, right, 2, 3, 2, 7.jpg, 6.jpg, 1.3946346000302583, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,1
35, test, 3, vibration during choice, 36, 1, 3, 5.jpg, 7.jpg, 0.211101934, 0.423948221, 0.423948221, left, 1, 3, 1, 7.jpg, 5.jpg, 0.5152845999691635, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
35, test, 3, vibration during choice, 37, 4, 2, 8.jpg, 6.jpg, 0.39910528, 0.456165741, 0.39910528, right, 2, 4, 2, 8.jpg, 6.jpg, 2.8828574999934062, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,1
35, test, 3, vibration during choice, 38, 1, 4, 5.jpg, 8.jpg, 0.221341547, 0.390289699, 0.390289699, left, 1, 4, 1, 8.jpg, 5.jpg, 1.5307733999798074, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
35, test, 3, vibration during choice, 39, 1, 2, 5.jpg, 6.jpg, 0.214118114, 0.447660961, 0.214118114, right, 2, 1, 2, 5.jpg, 6.jpg, 1.7344058000016958, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,0,
35, test, 3, vibration during choice, 40, 2, 1, 6.jpg, 5.jpg, 0.447456341, 0.217505069, 0.217505069, left, 1, 1, 2, 5.jpg, 6.jpg, 1.536227700067684, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
35, test, 3, vibration during choice, 41, 4, 2, 8.jpg, 6.jpg, 0.370374616, 0.458162882, 0.458162882, left, 1, 2, 4, 6.jpg, 8.jpg, 1.3005791999166831, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
35, test, 3, vibration during choice, 42, 2, 4, 6.jpg, 8.jpg, 0.480978505, 0.368787043, 0.368787043, left, 1, 4, 2, 8.jpg, 6.jpg, 0.9722100000362843, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
35, test, 3, vibration during choice, 43, 4, 3, 8.jpg, 7.jpg, 0.38383929, 0.401205729, 0.401205729, left, 1, 3, 4, 7.jpg, 8.jpg, 0.5738404999719933, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,0,
35, test, 3, vibration during choice, 44, 3, 2, 7.jpg, 6.jpg, 0.350203513, 0.530811847, 0.350203513, right, 2, 3, 2, 7.jpg, 6.jpg, 0.4021653999807313, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,1
35, test, 3, vibration during choice, 45, 1, 3, 5.jpg, 7.jpg, 0.308994906, 0.336134109, 0.336134109, left, 1, 3, 1, 7.jpg, 5.jpg, 0.6155233999015763, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
35, test, 3, vibration during choice, 46, 2, 3, 6.jpg, 7.jpg, 0.533187647, 0.325220477, 0.325220477, left, 1, 3, 2, 7.jpg, 6.jpg, 0.5494569999864325, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,1
35, test, 3, vibration during choice, 47, 1, 3, 5.jpg, 7.jpg, 0.29306391, 0.357892701, 0.357892701, left, 1, 3, 1, 7.jpg, 5.jpg, 0.5437760000349954, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,0,
35, test, 3, vibration during choice, 48, 3, 2, 7.jpg, 6.jpg, 0.408168742, 0.523160461, 0.408168742, right, 2, 3, 2, 7.jpg, 6.jpg, 0.47063530003651977, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
35, test, 3, vibration during choice, 49, 1, 3, 5.jpg, 7.jpg, 0.293886334, 0.394241012, 0.293886334, right, 2, 1, 3, 5.jpg, 7.jpg, 1.1147594000212848, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,1
