subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
46, practice, 1, vibration off, 1, 4, 1, 4.jpg, 1.jpg, 0.302670058, 0.167787674, 0.167787674, left, 1, 1, 4, 1.jpg, 4.jpg, 1.41746399999829, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
46, practice, 1, vibration off, 2, 4, 2, 4.jpg, 2.jpg, 0.290755999, 0.355471562, 0.290755999, right, 2, 4, 2, 4.jpg, 2.jpg, 0.9944472999777645, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
46, practice, 1, vibration off, 3, 4, 3, 4.jpg, 3.jpg, 0.275426328, 0.578794293, 0.275426328, right, 2, 4, 3, 4.jpg, 3.jpg, 0.8880992999766022, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
46, practice, 1, vibration off, 4, 2, 4, 2.jpg, 4.jpg, 0.358181966, 0.268568422, 0.358181966, right, 2, 2, 4, 2.jpg, 4.jpg, 1.568451599974651, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
46, practice, 1, vibration off, 5, 1, 2, 1.jpg, 2.jpg, 0.21991786, 0.364707579, 0.364707579, left, 1, 2, 1, 2.jpg, 1.jpg, 1.1275822999887168, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
46, test, 1, vibration off, 1, 3, 1, 3.jpg, 1.jpg, 0.584847675, 0.167787674, 0.584847675, right, 2, 3, 1, 3.jpg, 1.jpg, 1.3028148000012152, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
46, test, 1, vibration off, 2, 1, 3, 1.jpg, 3.jpg, 0.176264347, 0.582595424, 0.582595424, left, 1, 3, 1, 3.jpg, 1.jpg, 0.8988113999948837, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
46, test, 1, vibration off, 3, 1, 2, 1.jpg, 2.jpg, 0.206677553, 0.3490424, 0.206677553, right, 2, 1, 2, 1.jpg, 2.jpg, 0.9316885999869555, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
46, test, 1, vibration off, 4, 3, 4, 3.jpg, 4.jpg, 0.569745321, 0.268568422, 0.569745321, right, 2, 3, 4, 3.jpg, 4.jpg, 1.4019075999967754, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
46, test, 1, vibration off, 5, 4, 2, 4.jpg, 2.jpg, 0.302042001, 0.364707579, 0.302042001, right, 2, 4, 2, 4.jpg, 2.jpg, 1.6510925999609753, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
46, test, 1, vibration off, 6, 2, 1, 2.jpg, 1.jpg, 0.3895513, 0.209090036, 0.209090036, left, 1, 1, 2, 1.jpg, 2.jpg, 3.1417383000371046, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
46, test, 1, vibration off, 7, 1, 2, 1.jpg, 2.jpg, 0.215508938, 0.39060737, 0.39060737, left, 1, 2, 1, 2.jpg, 1.jpg, 1.1246278999606147, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,0,
46, test, 1, vibration off, 8, 2, 3, 2.jpg, 3.jpg, 0.430440014, 0.545053358, 0.545053358, left, 1, 3, 2, 3.jpg, 2.jpg, 1.0280415000161156, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
46, test, 1, vibration off, 9, 4, 2, 4.jpg, 2.jpg, 0.365747455, 0.4539861, 0.4539861, left, 1, 2, 4, 2.jpg, 4.jpg, 2.199403499951586, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,1
46, test, 1, vibration off, 10, 1, 3, 1.jpg, 3.jpg, 0.25320591, 0.507816291, 0.507816291, left, 1, 3, 1, 3.jpg, 1.jpg, 1.0936533999629319, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
46, test, 1, vibration off, 11, 3, 4, 3.jpg, 4.jpg, 0.494989907, 0.378430477, 0.378430477, left, 1, 4, 3, 4.jpg, 3.jpg, 1.0232605000492185, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,1
46, test, 1, vibration off, 12, 1, 2, 1.jpg, 2.jpg, 0.234286576, 0.484630844, 0.234286576, right, 2, 1, 2, 1.jpg, 2.jpg, 1.6575491999974474, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
46, test, 1, vibration off, 13, 4, 1, 4.jpg, 1.jpg, 0.408056555, 0.209829698, 0.408056555, right, 2, 4, 1, 4.jpg, 1.jpg, 0.8742718000430614, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,1
46, test, 1, vibration off, 14, 1, 3, 1.jpg, 3.jpg, 0.194746258, 0.424090899, 0.194746258, right, 2, 1, 3, 1.jpg, 3.jpg, 1.8117972000036389, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
46, test, 1, vibration off, 15, 1, 2, 1.jpg, 2.jpg, 0.254919143, 0.498060855, 0.498060855, left, 1, 2, 1, 2.jpg, 1.jpg, 0.9832793999812566, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,1
46, test, 1, vibration off, 16, 2, 3, 2.jpg, 3.jpg, 0.473753497, 0.384469806, 0.384469806, left, 1, 3, 2, 3.jpg, 2.jpg, 1.6482194000273012, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,1
46, test, 1, vibration off, 17, 4, 2, 4.jpg, 2.jpg, 0.467037886, 0.427927548, 0.467037886, right, 2, 4, 2, 4.jpg, 2.jpg, 0.715186600049492, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,1
46, test, 1, vibration off, 18, 3, 4, 3.jpg, 4.jpg, 0.380302803, 0.458160423, 0.458160423, left, 1, 4, 3, 4.jpg, 3.jpg, 0.5995841000112705, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
46, test, 1, vibration off, 19, 2, 3, 2.jpg, 3.jpg, 0.435371131, 0.39026973, 0.39026973, left, 1, 3, 2, 3.jpg, 2.jpg, 0.7061031999764964, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,1
46, test, 1, vibration off, 20, 4, 1, 4.jpg, 1.jpg, 0.410963982, 0.268741649, 0.410963982, right, 2, 4, 1, 4.jpg, 1.jpg, 0.5876307000289671, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
46, test, 1, vibration off, 21, 4, 3, 4.jpg, 3.jpg, 0.423231262, 0.404768464, 0.404768464, left, 1, 3, 4, 3.jpg, 4.jpg, 0.7752544999821112, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,1
46, test, 1, vibration off, 22, 3, 4, 3.jpg, 4.jpg, 0.422610309, 0.389718337, 0.422610309, right, 2, 3, 4, 3.jpg, 4.jpg, 1.1228516999981366, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
46, test, 1, vibration off, 23, 1, 3, 1.jpg, 3.jpg, 0.275422902, 0.408863932, 0.275422902, right, 2, 1, 3, 1.jpg, 3.jpg, 1.0878881000098772, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
46, test, 1, vibration off, 24, 4, 2, 4.jpg, 2.jpg, 0.398445672, 0.379139537, 0.398445672, right, 2, 4, 2, 4.jpg, 2.jpg, 0.7769481999566779, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,1
46, test, 1, vibration off, 25, 2, 4, 2.jpg, 4.jpg, 0.383103254, 0.3844496, 0.3844496, left, 1, 4, 2, 4.jpg, 2.jpg, 0.5868349999655038, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,1
46, test, 1, vibration off, 26, 3, 1, 3.jpg, 1.jpg, 0.44409494, 0.251503025, 0.44409494, right, 2, 3, 1, 3.jpg, 1.jpg, 0.5461941999965347, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
46, test, 1, vibration off, 27, 3, 4, 3.jpg, 4.jpg, 0.476699219, 0.351861927, 0.351861927, left, 1, 4, 3, 4.jpg, 3.jpg, 1.5025431999820285, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,0,
46, test, 1, vibration off, 28, 1, 3, 1.jpg, 3.jpg, 0.254900351, 0.471375184, 0.471375184, left, 1, 3, 1, 3.jpg, 1.jpg, 0.6792464000172913, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
46, test, 1, vibration off, 29, 2, 4, 2.jpg, 4.jpg, 0.431125609, 0.360838495, 0.431125609, right, 2, 2, 4, 2.jpg, 4.jpg, 0.6224399000057019, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
46, test, 1, vibration off, 30, 2, 4, 2.jpg, 4.jpg, 0.434793002, 0.36725969, 0.36725969, left, 1, 4, 2, 4.jpg, 2.jpg, 0.8754822000046261, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,1
46, test, 1, vibration off, 31, 1, 2, 1.jpg, 2.jpg, 0.233739069, 0.473135831, 0.473135831, left, 1, 2, 1, 2.jpg, 1.jpg, 0.9232157000224106, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,1
46, test, 1, vibration off, 32, 3, 1, 3.jpg, 1.jpg, 0.406064085, 0.24432205, 0.406064085, right, 2, 3, 1, 3.jpg, 1.jpg, 0.8571195999975316, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,1
46, test, 1, vibration off, 33, 4, 2, 4.jpg, 2.jpg, 0.402704902, 0.458621481, 0.402704902, right, 2, 4, 2, 4.jpg, 2.jpg, 0.6662392999860458, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,1
46, test, 1, vibration off, 34, 4, 1, 4.jpg, 1.jpg, 0.416668377, 0.204964705, 0.416668377, right, 2, 4, 1, 4.jpg, 1.jpg, 0.596577399992384, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,0,
46, test, 1, vibration off, 35, 2, 1, 2.jpg, 1.jpg, 0.429045935, 0.22048214, 0.22048214, left, 1, 1, 2, 1.jpg, 2.jpg, 1.225323999999091, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
46, test, 1, vibration off, 36, 1, 2, 1.jpg, 2.jpg, 0.211101934, 0.447650766, 0.447650766, left, 1, 2, 1, 2.jpg, 1.jpg, 1.2920969999977387, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,0,
46, test, 1, vibration off, 37, 3, 1, 3.jpg, 1.jpg, 0.43257228, 0.219326053, 0.43257228, right, 2, 3, 1, 3.jpg, 1.jpg, 0.7139959000051022, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
46, test, 1, vibration off, 38, 3, 4, 3.jpg, 4.jpg, 0.4363313, 0.390289699, 0.390289699, left, 1, 4, 3, 4.jpg, 3.jpg, 0.7199940999853425, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,1
46, test, 1, vibration off, 39, 3, 1, 3.jpg, 1.jpg, 0.408906602, 0.214118114, 0.214118114, left, 1, 1, 3, 1.jpg, 3.jpg, 0.7233898999984376, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,1
46, test, 1, vibration off, 40, 3, 4, 3.jpg, 4.jpg, 0.40122215, 0.401024283, 0.401024283, left, 1, 4, 3, 4.jpg, 3.jpg, 0.7271762000164017, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,1
46, test, 1, vibration off, 41, 1, 2, 1.jpg, 2.jpg, 0.249081937, 0.458162882, 0.249081937, right, 2, 1, 2, 1.jpg, 2.jpg, 0.9628395999898203, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
46, test, 1, vibration off, 42, 4, 3, 4.jpg, 3.jpg, 0.368787043, 0.383924023, 0.368787043, right, 2, 4, 3, 4.jpg, 3.jpg, 0.6793206000002101, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
46, test, 1, vibration off, 43, 1, 3, 1.jpg, 3.jpg, 0.288213763, 0.401205729, 0.401205729, left, 1, 3, 1, 3.jpg, 1.jpg, 1.0953404000028968, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,1
46, test, 1, vibration off, 44, 3, 1, 3.jpg, 1.jpg, 0.350203513, 0.294374293, 0.350203513, right, 2, 3, 1, 3.jpg, 1.jpg, 0.4515015999786556, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,0,
46, test, 1, vibration off, 45, 1, 3, 1.jpg, 3.jpg, 0.308994906, 0.336134109, 0.336134109, left, 1, 3, 1, 3.jpg, 1.jpg, 0.5587152000516653, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,0,
46, test, 1, vibration off, 46, 2, 1, 2.jpg, 1.jpg, 0.533187647, 0.289973458, 0.289973458, left, 1, 1, 2, 1.jpg, 2.jpg, 0.6676124999648891, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
46, test, 1, vibration off, 47, 1, 4, 1.jpg, 4.jpg, 0.29306391, 0.34679011, 0.29306391, right, 2, 1, 4, 1.jpg, 4.jpg, 0.618375800026115, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,1
46, test, 1, vibration off, 48, 2, 1, 2.jpg, 1.jpg, 0.523160461, 0.292135198, 0.292135198, left, 1, 1, 2, 1.jpg, 2.jpg, 1.2753739000181668, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
46, test, 1, vibration off, 49, 4, 2, 4.jpg, 2.jpg, 0.356189797, 0.527646571, 0.527646571, left, 1, 2, 4, 2.jpg, 4.jpg, 0.5231972999754362, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
46, test, 1, vibration off, 50, 3, 1, 3.jpg, 1.jpg, 0.386662209, 0.304272396, 0.386662209, right, 2, 3, 1, 3.jpg, 1.jpg, 0.9457057000254281, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
46, practice, 3, vibration during outcome, 1, 4, 2, 8.jpg, 6.jpg, 0.302670058, 0.332201416, 0.302670058, right, 2, 4, 2, 8.jpg, 6.jpg, 1.6526512000127696, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
46, practice, 3, vibration during outcome, 2, 2, 4, 6.jpg, 8.jpg, 0.355471562, 0.290755999, 0.290755999, left, 1, 4, 2, 8.jpg, 6.jpg, 1.1285275999689475, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
46, practice, 3, vibration during outcome, 3, 4, 2, 8.jpg, 6.jpg, 0.275426328, 0.3490424, 0.275426328, right, 2, 4, 2, 8.jpg, 6.jpg, 1.54990630003158, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
46, practice, 3, vibration during outcome, 4, 1, 4, 5.jpg, 8.jpg, 0.216551625, 0.268568422, 0.216551625, right, 2, 1, 4, 5.jpg, 8.jpg, 0.002640100021380931, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
46, practice, 3, vibration during outcome, 5, 2, 1, 6.jpg, 5.jpg, 0.364707579, 0.21991786, 0.21991786, left, 1, 1, 2, 5.jpg, 6.jpg, 1.0515955000300892, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
46, test, 3, vibration during outcome, 1, 1, 3, 5.jpg, 7.jpg, 0.167787674, 0.584847675, 0.584847675, left, 1, 3, 1, 7.jpg, 5.jpg, 1.215574200032279, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
46, test, 3, vibration during outcome, 2, 1, 4, 5.jpg, 8.jpg, 0.176264347, 0.290755999, 0.176264347, right, 2, 1, 4, 5.jpg, 8.jpg, 1.0101353999925777, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
46, test, 3, vibration during outcome, 3, 4, 1, 8.jpg, 5.jpg, 0.275426328, 0.206677553, 0.206677553, left, 1, 1, 4, 5.jpg, 8.jpg, 1.5983423999859951, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
46, test, 3, vibration during outcome, 4, 3, 1, 7.jpg, 5.jpg, 0.569745321, 0.216551625, 0.216551625, left, 1, 1, 3, 5.jpg, 7.jpg, 0.5299262999906205, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
46, test, 3, vibration during outcome, 5, 2, 3, 6.jpg, 7.jpg, 0.364707579, 0.582527891, 0.582527891, left, 1, 3, 2, 7.jpg, 6.jpg, 0.6512411999865435, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
46, test, 3, vibration during outcome, 6, 4, 3, 8.jpg, 7.jpg, 0.336540119, 0.587455063, 0.587455063, left, 1, 3, 4, 7.jpg, 8.jpg, 0.5564780000131577, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,1
46, test, 3, vibration during outcome, 7, 2, 3, 6.jpg, 7.jpg, 0.39060737, 0.582464681, 0.582464681, left, 1, 3, 2, 7.jpg, 6.jpg, 0.4184339999919757, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,1
46, test, 3, vibration during outcome, 8, 2, 4, 6.jpg, 8.jpg, 0.430440014, 0.369794555, 0.430440014, right, 2, 2, 4, 6.jpg, 8.jpg, 1.7216803000192158, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
46, test, 3, vibration during outcome, 9, 3, 1, 7.jpg, 5.jpg, 0.530883085, 0.223820368, 0.530883085, right, 2, 3, 1, 7.jpg, 5.jpg, 0.8058668000157923, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,0,
46, test, 3, vibration during outcome, 10, 4, 1, 8.jpg, 5.jpg, 0.36426522, 0.25320591, 0.25320591, left, 1, 1, 4, 5.jpg, 8.jpg, 0.8375931000337005, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,1
46, test, 3, vibration during outcome, 11, 4, 2, 8.jpg, 6.jpg, 0.378430477, 0.489357893, 0.489357893, left, 1, 2, 4, 6.jpg, 8.jpg, 1.6825099000125192, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,1
46, test, 3, vibration during outcome, 12, 3, 1, 7.jpg, 5.jpg, 0.446302549, 0.234286576, 0.446302549, right, 2, 3, 1, 7.jpg, 5.jpg, 0.628109699988272, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
46, test, 3, vibration during outcome, 13, 1, 2, 5.jpg, 6.jpg, 0.209829698, 0.493007884, 0.493007884, left, 1, 2, 1, 6.jpg, 5.jpg, 0.538272500038147, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,1
46, test, 3, vibration during outcome, 14, 3, 4, 7.jpg, 8.jpg, 0.424090899, 0.411853134, 0.411853134, left, 1, 4, 3, 8.jpg, 7.jpg, 0.9502497999928892, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,1
46, test, 3, vibration during outcome, 15, 1, 2, 5.jpg, 6.jpg, 0.254919143, 0.498060855, 0.498060855, left, 1, 2, 1, 6.jpg, 5.jpg, 0.5318703000084497, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,1
46, test, 3, vibration during outcome, 16, 2, 3, 6.jpg, 7.jpg, 0.473753497, 0.384469806, 0.473753497, right, 2, 2, 3, 6.jpg, 7.jpg, 0.6503584000165574, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,1
46, test, 3, vibration during outcome, 17, 2, 3, 6.jpg, 7.jpg, 0.427927548, 0.397409959, 0.427927548, right, 2, 2, 3, 6.jpg, 7.jpg, 0.5292852999991737, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
46, test, 3, vibration during outcome, 18, 3, 2, 7.jpg, 6.jpg, 0.380302803, 0.42862063, 0.42862063, left, 1, 2, 3, 6.jpg, 7.jpg, 1.0758608999894932, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,1
46, test, 3, vibration during outcome, 19, 1, 3, 5.jpg, 7.jpg, 0.269452755, 0.39026973, 0.39026973, left, 1, 3, 1, 7.jpg, 5.jpg, 1.5868328000069596, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
46, test, 3, vibration during outcome, 20, 1, 2, 5.jpg, 6.jpg, 0.268741649, 0.425551488, 0.425551488, left, 1, 2, 1, 6.jpg, 5.jpg, 0.8895477000041865, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,1
46, test, 3, vibration during outcome, 21, 4, 1, 8.jpg, 5.jpg, 0.423231262, 0.289598518, 0.423231262, right, 2, 4, 1, 8.jpg, 5.jpg, 0.8276410999824293, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,1
46, test, 3, vibration during outcome, 22, 4, 1, 8.jpg, 5.jpg, 0.389718337, 0.299460569, 0.389718337, right, 2, 4, 1, 8.jpg, 5.jpg, 0.46677689999341965, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
46, test, 3, vibration during outcome, 23, 1, 2, 5.jpg, 6.jpg, 0.275422902, 0.397611772, 0.397611772, left, 1, 2, 1, 6.jpg, 5.jpg, 0.8485140000120737, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
46, test, 3, vibration during outcome, 24, 4, 2, 8.jpg, 6.jpg, 0.398445672, 0.379139537, 0.379139537, left, 1, 2, 4, 6.jpg, 8.jpg, 1.08473399997456, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,1
46, test, 3, vibration during outcome, 25, 4, 1, 8.jpg, 5.jpg, 0.3844496, 0.254259812, 0.254259812, left, 1, 1, 4, 5.jpg, 8.jpg, 0.9744758000015281, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,1
46, test, 3, vibration during outcome, 26, 2, 4, 6.jpg, 8.jpg, 0.426705428, 0.389570929, 0.426705428, right, 2, 2, 4, 6.jpg, 8.jpg, 0.5866252000560053, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,1
46, test, 3, vibration during outcome, 27, 4, 1, 8.jpg, 5.jpg, 0.351861927, 0.260664603, 0.260664603, left, 1, 1, 4, 5.jpg, 8.jpg, 1.0212762000155635, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,1
46, test, 3, vibration during outcome, 28, 4, 2, 8.jpg, 6.jpg, 0.358204472, 0.456535155, 0.456535155, left, 1, 2, 4, 6.jpg, 8.jpg, 0.6571208999957889, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
46, test, 3, vibration during outcome, 29, 4, 2, 8.jpg, 6.jpg, 0.360838495, 0.431125609, 0.431125609, left, 1, 2, 4, 6.jpg, 8.jpg, 0.5948534000199288, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
46, test, 3, vibration during outcome, 30, 1, 4, 5.jpg, 8.jpg, 0.231605059, 0.36725969, 0.231605059, right, 2, 1, 4, 5.jpg, 8.jpg, 0.5994892000453547, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,1
46, test, 3, vibration during outcome, 31, 2, 4, 6.jpg, 8.jpg, 0.473135831, 0.401609609, 0.401609609, left, 1, 4, 2, 8.jpg, 6.jpg, 1.4842798999743536, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,0,
46, test, 3, vibration during outcome, 32, 1, 4, 5.jpg, 8.jpg, 0.24432205, 0.393803515, 0.24432205, right, 2, 1, 4, 5.jpg, 8.jpg, 1.0637016999535263, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
46, test, 3, vibration during outcome, 33, 3, 4, 7.jpg, 8.jpg, 0.401876712, 0.402704902, 0.401876712, right, 2, 3, 4, 7.jpg, 8.jpg, 0.7029305000323802, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
46, test, 3, vibration during outcome, 34, 1, 3, 5.jpg, 7.jpg, 0.204964705, 0.409321444, 0.204964705, right, 2, 1, 3, 5.jpg, 7.jpg, 1.1263501000357792, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
46, test, 3, vibration during outcome, 35, 2, 3, 6.jpg, 7.jpg, 0.429045935, 0.424862287, 0.429045935, right, 2, 2, 3, 6.jpg, 7.jpg, 1.1220468999817967, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
46, test, 3, vibration during outcome, 36, 3, 1, 7.jpg, 5.jpg, 0.423948221, 0.211101934, 0.211101934, left, 1, 1, 3, 5.jpg, 7.jpg, 1.805844500020612, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,0,
46, test, 3, vibration during outcome, 37, 3, 1, 7.jpg, 5.jpg, 0.43257228, 0.219326053, 0.219326053, left, 1, 1, 3, 5.jpg, 7.jpg, 0.771147400024347, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
46, test, 3, vibration during outcome, 38, 4, 3, 8.jpg, 7.jpg, 0.390289699, 0.4363313, 0.4363313, left, 1, 3, 4, 7.jpg, 8.jpg, 1.1566427999641746, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
46, test, 3, vibration during outcome, 39, 1, 4, 5.jpg, 8.jpg, 0.214118114, 0.411267062, 0.214118114, right, 2, 1, 4, 5.jpg, 8.jpg, 0.6479880000115372, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,1
46, test, 3, vibration during outcome, 40, 4, 2, 8.jpg, 6.jpg, 0.401024283, 0.447456341, 0.447456341, left, 1, 2, 4, 6.jpg, 8.jpg, 0.821765200002119, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,1
46, test, 3, vibration during outcome, 41, 2, 3, 6.jpg, 7.jpg, 0.458162882, 0.382054645, 0.458162882, right, 2, 2, 3, 6.jpg, 7.jpg, 0.6170453000231646, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
46, test, 3, vibration during outcome, 42, 4, 2, 8.jpg, 6.jpg, 0.368787043, 0.480978505, 0.480978505, left, 1, 2, 4, 6.jpg, 8.jpg, 0.6583744999952614, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,1
46, test, 3, vibration during outcome, 43, 1, 3, 5.jpg, 7.jpg, 0.288213763, 0.401205729, 0.288213763, right, 2, 1, 3, 5.jpg, 7.jpg, 0.7206133999861777, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,0,
46, test, 3, vibration during outcome, 44, 4, 1, 8.jpg, 5.jpg, 0.362927966, 0.294374293, 0.294374293, left, 1, 1, 4, 5.jpg, 8.jpg, 0.5108601999818347, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,1
46, test, 3, vibration during outcome, 45, 4, 2, 8.jpg, 6.jpg, 0.367033206, 0.512913286, 0.512913286, left, 1, 2, 4, 6.jpg, 8.jpg, 0.6406430000206456, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
46, test, 3, vibration during outcome, 46, 1, 2, 5.jpg, 6.jpg, 0.289973458, 0.533187647, 0.533187647, left, 1, 2, 1, 6.jpg, 5.jpg, 0.5362834999687038, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,1
46, test, 3, vibration during outcome, 47, 3, 1, 7.jpg, 5.jpg, 0.357892701, 0.29306391, 0.29306391, left, 1, 1, 3, 5.jpg, 7.jpg, 0.8979901000275277, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,0,
46, test, 3, vibration during outcome, 48, 2, 4, 6.jpg, 8.jpg, 0.523160461, 0.356952705, 0.523160461, right, 2, 2, 4, 6.jpg, 8.jpg, 0.418338900024537, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
46, test, 3, vibration during outcome, 49, 1, 3, 5.jpg, 7.jpg, 0.293886334, 0.394241012, 0.394241012, left, 1, 3, 1, 7.jpg, 5.jpg, 0.5665532000130042, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
46, test, 3, vibration during outcome, 50, 4, 1, 8.jpg, 5.jpg, 0.348042517, 0.304272396, 0.304272396, left, 1, 1, 4, 5.jpg, 8.jpg, 0.47190299996873364, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
